p,t,success,alpha,x11,x12,x22,value,const_value,dist_to_constant,category,is_constant_minimizer
0.02,0.53,True,0.45719633933543957,0.020144602349728147,0.024100000652917626,0.9759005386835579,1.091720041965907,1.3915213663144124,0.5098553976502719,one_dense_x22,False
0.02,0.54,True,0.44694470578044493,0.02014238197584237,0.024096381983921642,0.9759041308599863,1.1333464615134479,1.4318419098388582,0.5198576180241576,one_dense_x22,False
0.02,0.55,True,0.4366931062212832,0.020140254048345938,0.02409289349956321,0.9759075973489099,1.1757515937653111,1.472565057564776,0.5298597459516541,one_dense_x22,False
0.02,0.56,True,0.4264415311671419,0.020138201490215245,0.024089533500159886,0.9759109320377731,1.2189354402761483,1.5136922740070977,0.5398617985097848,one_dense_x22,False
0.02,0.57,True,0.416189988611948,0.02013622342507629,0.024086295910127252,0.9759141583034538,1.2628980023323588,1.5552253636664104,0.5498637765749237,one_dense_x22,False
0.02,0.58,True,0.40593846580834614,0.020134316192622983,0.02408316428832089,0.9759172640262634,1.307639281280014,1.597166480029529,0.559865683807377,one_dense_x22,False
0.02,0.59,True,0.39568696168264034,0.0201324578236313,0.024080154093900435,0.9759202554294585,1.3531592782506694,1.6395181364678382,0.5698675421763687,one_dense_x22,False
0.02,0.6,True,0.3854354879710356,0.02013067635250924,0.024077243124034416,0.9759231597331934,1.3994579943676004,1.6822832191746393,0.5798693236474908,one_dense_x22,False
0.02,0.61,True,0.375184077321453,0.02012913178627193,0.02407436929646363,0.9759260359636527,1.4465354306882967,1.725465002313192,0.589870868213728,one_dense_x22,False
0.02,0.62,True,0.36493259893469665,0.020127277071322395,0.024071677486793168,0.9759286821548347,1.4943915881486316,1.7690671655819998,0.5998727229286775,one_dense_x22,False
0.02,0.63,True,0.35468117319957004,0.020125661651794895,0.024069038653981172,0.9759312964958461,1.5430264676611634,1.8130938144441515,0.6098743383482051,one_dense_x22,False
0.02,0.64,True,0.3444297849456007,0.02012415022335119,0.024066475774119123,0.9759338587457107,1.5924400701075827,1.8575495033146185,0.6198758497766488,one_dense_x22,False
0.02,0.65,True,0.33417838771433156,0.020122582160536483,0.02406401408346659,0.9759363039513691,1.6426323962209686,1.9024392620547943,0.6298774178394635,one_dense_x22,False
0.02,0.66,True,0.32392701527767614,0.02012111513451572,0.024061611901225237,0.9759386884369703,1.6936034468122625,1.9477686261893776,0.6398788848654843,one_dense_x22,False
0.02,0.67,True,0.31367566116410556,0.020119697965414355,0.024059277178706342,0.975941006640351,1.7453532225475843,1.9935436713394339,0.6498803020345857,one_dense_x22,False
0.02,0.68,True,0.30342431147004684,0.02011831934471041,0.024057022566505007,0.9759432427834581,1.797881724124213,2.0397710524603196,0.6598816806552896,one_dense_x22,False
0.02,0.69,True,0.29317297882833415,0.020116976625186998,0.024054832812375547,0.9759454191542122,1.8511889521036187,2.0864580485882644,0.669883023374813,one_dense_x22,False
0.02,0.7,True,0.28292166297279714,0.020115660797072842,0.024052711089247517,0.9759475387865233,1.9052749071240493,2.1336126139400644,0.6798843392029271,one_dense_x22,False
